entity,formattype,todate,amazontotalreviews,minappleprice,amazontotalrevenue,accruedpreordersoldunits,amazonlumpedpreordersubscriptionrevenue,preordersalesrevenue,foundatamazon,barnesandnobleaccruedpreorderrevenue,amazonpreordersubscriptionunits,amazonlumpedpreordersalesrevenue,foundatbarnesandnoble,maxprice,lumpedpreordersubscriptionunits,applepreorderrevenue,amazontotalunits,totalrevenue,barnesandnobleaccruedpreorderunits,preorderunits,amazonsubscriptionrevenue,amazonlumpedpreorderrevenue,maxbarnesandnoblelistprice,maxlistprice,barnesandnoblesoldunits,maxapplelistprice,amazonaccruedpreordersubscriptionrevenue,accruedpreordersubscriptionunits,amazonkenpread,applesoldunits,minamazonlistprice,minprice,appleaccruedpreorderunits,preorderperiod,lumpedpreordersoldunits,accruedpreorderrevenue,maxamazonlistprice,amazonaccruedpreorderrevenue,barnesandnoblepreorderunits,amazonaccruedpreorderunits,minbarnesandnoblelistprice,appleaccruedpreorderrevenue,applelumpedpreorderunits,applesalesrevenue,preordersoldunits,lumpedpreordersalesrevenue,totalunits,maxamazonprice,amazonlumpedpreordersoldunits,amazonaveragerating,accruedpreorderunits,amazonsalesrevenue,barnesandnoblesalesrevenue,minlistprice,amazonaccruedpreordersalesrevenue,amazonlumpedpreorderunits,lumpedpreordersubscriptionrevenue,applelumpedpreorderrevenue,minamazonprice,subscriptionunits,amazonpreorderunits,amazonpreorderrevenue,amazonaccruedpreordersoldunits,amazonpreordersoldunits,salesrevenue,preordersubscriptionrevenue,lumpedpreorderunits,amazonaccruedpreordersubscriptionunits,applepreorderunits,subscriptionrevenue,soldunits,minapplelistprice,barnesandnoblepreorderrevenue,amazonsubscriptionunits,amazonlumpedpreordersubscriptionunits,aapreported,accruedpreordersubscriptionrevenue,foundatapple,barnesandnoblelumpedpreorderrevenue,barnesandnoblelumpedpreorderunits,minbarnesandnobleprice,accruedpreordersalesrevenue,maxbarnesandnobleprice,preorderrevenue,pubtrackreported,lumpedpreorderrevenue,amazonsoldunits,amazonpreordersubscriptionrevenue,preordersubscriptionunits,amazonpreordersalesrevenue,maxappleprice
Alone in the dark,audio,2017-05-29,307.0,0,1495,0,0,0,1,0,0,0,0,1795,0,0,1,1495,0,0,1495,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,1,1795,0,440.0,0,0,0,1885,0,0,0,0,1795,1,0,0,0,0,0,0,0,0,0,1495,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Alone in the dark,audio,2017-05-30,307.0,0,4785,0,0,0,1,0,0,0,0,1795,0,0,3,4785,0,0,2990,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,3,1795,0,440.0,0,1795,0,1885,0,0,0,0,1795,2,0,0,0,0,1795,0,0,0,0,2990,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Alone in the dark,audio,2017-05-31,307.0,0,4785,0,0,0,1,0,0,0,0,1795,0,0,3,4785,0,0,2990,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,3,1795,0,440.0,0,1795,0,1885,0,0,0,0,1795,2,0,0,0,0,1795,0,0,0,0,2990,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Alone in the dark,audio,2017-06-01,307.0,0,8075,0,0,0,1,0,0,0,0,1795,0,0,5,8075,0,0,4485,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,5,1795,0,440.0,0,3590,0,1885,0,0,0,0,1795,3,0,0,0,0,3590,0,0,0,0,4485,2,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
Alone in the dark,audio,2017-06-02,307.0,0,14655,0,0,0,1,0,0,0,0,1795,0,0,9,14655,0,0,7475,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,9,1795,0,440.0,0,7180,0,1885,0,0,0,0,1795,5,0,0,0,0,7180,0,0,0,0,7475,4,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0
Alone in the dark,audio,2017-06-03,307.0,0,6580,0,0,0,1,0,0,0,0,1795,0,0,4,6580,0,0,2990,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,4,1795,0,440.0,0,3590,0,1885,0,0,0,0,1795,2,0,0,0,0,3590,0,0,0,0,2990,2,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
Alone in the dark,audio,2017-06-04,307.0,0,1795,0,0,0,1,0,0,0,0,1795,0,0,1,1795,0,0,0,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,1,1795,0,440.0,0,1795,0,1885,0,0,0,0,1795,0,0,0,0,0,1795,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Alone in the dark,audio,2017-06-05,307.0,0,5085,0,0,0,1,0,0,0,0,1795,0,0,3,5085,0,0,1495,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,3,1795,0,440.0,0,3590,0,1885,0,0,0,0,1795,1,0,0,0,0,3590,0,0,0,0,1495,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
Alone in the dark,audio,2017-06-06,307.0,0,3290,0,0,0,1,0,0,0,0,1795,0,0,2,3290,0,0,1495,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,2,1795,0,440.0,0,1795,0,1885,0,0,0,0,1795,1,0,0,0,0,1795,0,0,0,0,1495,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Alone in the dark,audio,2017-06-16,308.0,0,1495,0,0,0,1,0,0,0,0,1795,0,0,1,1495,0,0,1495,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,1,1795,0,440.0,0,0,0,1885,0,0,0,0,1795,1,0,0,0,0,0,0,0,0,0,1495,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Alone in the dark,audio,2017-06-17,308.0,0,1495,0,0,0,1,0,0,0,0,1795,0,0,1,1495,0,0,1495,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,1,1795,0,440.0,0,0,0,1885,0,0,0,0,1795,1,0,0,0,0,0,0,0,0,0,1495,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Alone in the dark,audio,2017-06-18,308.0,0,1795,0,0,0,1,0,0,0,0,1795,0,0,1,1795,0,0,0,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,1,1795,0,440.0,0,1795,0,1885,0,0,0,0,1795,0,0,0,0,0,1795,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Alone in the dark,audio,2017-06-19,308.0,0,1795,0,0,0,1,0,0,0,0,1795,0,0,1,1795,0,0,0,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,1,1795,0,440.0,0,1795,0,1885,0,0,0,0,1795,0,0,0,0,0,1795,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Alone in the dark,audio,2017-06-21,308.0,0,4785,0,0,0,1,0,0,0,0,1795,0,0,3,4785,0,0,2990,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,3,1795,0,440.0,0,1795,0,1885,0,0,0,0,1795,2,0,0,0,0,1795,0,0,0,0,2990,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Alone in the dark,audio,2017-06-22,308.0,0,9570,0,0,0,1,0,0,0,0,1795,0,0,6,9570,0,0,5980,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,6,1795,0,440.0,0,3590,0,1885,0,0,0,0,1795,4,0,0,0,0,3590,0,0,0,0,5980,2,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
Alone in the dark,audio,2017-06-23,308.0,0,4785,0,0,0,1,0,0,0,0,1795,0,0,3,4785,0,0,2990,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,3,1795,0,440.0,0,1795,0,1885,0,0,0,0,1795,2,0,0,0,0,1795,0,0,0,0,2990,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Alone in the dark,audio,2017-06-24,308.0,0,0,0,0,0,1,0,0,0,0,1795,0,0,0,0,0,0,0,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,0,1795,0,440.0,0,0,0,1885,0,0,0,0,1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Alone in the dark,audio,2017-06-25,308.0,0,0,0,0,0,1,0,0,0,0,1795,0,0,0,0,0,0,0,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,0,1795,0,440.0,0,0,0,1885,0,0,0,0,1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Alone in the dark,audio,2017-06-26,308.0,0,0,0,0,0,1,0,0,0,0,1795,0,0,0,0,0,0,0,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,0,1795,0,440.0,0,0,0,1885,0,0,0,0,1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Alone in the dark,audio,2017-06-27,308.0,0,0,0,0,0,1,0,0,0,0,1795,0,0,0,0,0,0,0,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,0,1795,0,440.0,0,0,0,1885,0,0,0,0,1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Alone in the dark,audio,2017-06-28,308.0,0,3541,0,0,0,1,0,0,0,0,2046,0,0,2,3541,0,0,1495,0,0,1885,0,0,0,0,0,0,0,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,2,2046,0,440.0,0,2046,0,0,0,0,0,0,1795,1,0,0,0,0,2046,0,0,0,0,1495,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Alone in the dark,audio,2017-06-29,308.0,0,3541,0,0,0,1,0,0,0,0,2046,0,0,2,3541,0,0,1495,0,0,0,0,0,0,0,0,0,0,2046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2046,0,440.0,0,2046,0,0,0,0,0,0,2046,1,0,0,0,0,2046,0,0,0,0,1495,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Alone in the dark,audio,2017-06-30,308.0,0,0,0,0,0,1,0,0,0,0,2046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2046,0,440.0,0,0,0,0,0,0,0,0,2046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Alone in the dark,audio,2017-07-10,311.0,0,8075,0,0,0,1,0,0,0,0,1795,0,0,5,8075,0,0,4485,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,5,1795,0,440.0,0,3590,0,1885,0,0,0,0,1795,3,0,0,0,0,3590,0,0,0,0,4485,2,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
Alone in the dark,audio,2017-07-11,311.0,0,8075,0,0,0,1,0,0,0,0,1795,0,0,5,8075,0,0,4485,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,5,1795,0,440.0,0,3590,0,1885,0,0,0,0,1795,3,0,0,0,0,3590,0,0,0,0,4485,2,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
Alone in the dark,audio,2017-07-12,311.0,0,1795,0,0,0,1,0,0,0,0,1795,0,0,1,1795,0,0,0,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,1,1795,0,440.0,0,1795,0,1885,0,0,0,0,1795,0,0,0,0,0,1795,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Alone in the dark,audio,2017-07-13,311.0,0,1795,0,0,0,1,0,0,0,0,1795,0,0,1,1795,0,0,0,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,1,1795,0,440.0,0,1795,0,1885,0,0,0,0,1795,0,0,0,0,0,1795,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Alone in the dark,audio,2017-07-16,311.0,0,4785,0,0,0,1,0,0,0,0,1795,0,0,3,4785,0,0,2990,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,3,1795,0,440.0,0,1795,0,1885,0,0,0,0,1795,2,0,0,0,0,1795,0,0,0,0,2990,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Alone in the dark,audio,2017-07-17,311.0,0,4785,0,0,0,1,0,0,0,0,1795,0,0,3,4785,0,0,2990,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,3,1795,0,440.0,0,1795,0,1885,0,0,0,0,1795,2,0,0,0,0,1795,0,0,0,0,2990,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Alone in the dark,audio,2017-07-18,311.0,0,1495,0,0,0,1,0,0,0,0,1795,0,0,1,1495,0,0,1495,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,1,1795,0,440.0,0,0,0,1885,0,0,0,0,1795,1,0,0,0,0,0,0,0,0,0,1495,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Alone in the dark,audio,2017-07-19,311.0,0,1495,0,0,0,1,0,0,0,0,1795,0,0,1,1495,0,0,1495,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,1,1795,0,440.0,0,0,0,1885,0,0,0,0,1795,1,0,0,0,0,0,0,0,0,0,1495,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
